CaCl2,,,,NH4Cl,,,,NaCl,,,,KCl,,,
Concentration (mM),?I/I0,Concentration_fitted (mM),?I/I0 fitted,Concentration (mM),?I/I0,Concentration_fitted (mM),?I/I0 fitted,Concentration (mM),?I/I0,Concentration_fitted (mM),?I/I0 fitted,Concentration (mM),?I/I0,Concentration_fitted (mM),?I/I0 fitted
0.5 mM LiCL + 0.1 mM CaCl2,2.41E-01,1.00E-01,2.39E-01,0.5 mM LiCL + 0.1 mM NH4Cl,2.57E-01,1.00E-01,2.54E-01,0.5 mM LiCL + 0.1 mM NaCl,2.51E-01,1.00E-01,2.49E-01,0.5 mM LiCL + 0.1 mM KCl,2.21E-01,1.00E-01,2.15E-01
0.5 mM LiCL + 1 mM CaCl2,2.55E-01,1.50E-01,2.43E-01,0.5 mM LiCL + 1 mM NH4Cl,2.59E-01,1.50E-01,2.56E-01,0.5 mM LiCL + 1 mM NaCl,2.60E-01,1.50E-01,2.52E-01,0.5 mM LiCL + 1 mM KCl,2.13E-01,1.50E-01,2.17E-01
0.5 mM LiCL + 10 mM CaCl2,2.79E-01,1.99E-01,2.45E-01,0.5 mM LiCL + 10 mM NH4Cl,2.79E-01,1.99E-01,2.57E-01,0.5 mM LiCL + 10 mM NaCl,2.85E-01,1.99E-01,2.54E-01,0.5 mM LiCL + 10 mM KCl,2.46E-01,1.99E-01,2.18E-01
,,2.49E-01,2.47E-01,,,2.49E-01,2.58E-01,,,2.49E-01,2.55E-01,,,2.49E-01,2.19E-01
,,2.99E-01,2.48E-01,,,2.99E-01,2.59E-01,,,2.99E-01,2.57E-01,,,2.99E-01,2.20E-01
,,3.49E-01,2.50E-01,,,3.49E-01,2.60E-01,,,3.49E-01,2.58E-01,,,3.49E-01,2.21E-01
,,3.98E-01,2.51E-01,,,3.98E-01,2.61E-01,,,3.98E-01,2.59E-01,,,3.98E-01,2.22E-01
,,4.48E-01,2.52E-01,,,4.48E-01,2.61E-01,,,4.48E-01,2.60E-01,,,4.48E-01,2.22E-01
,,4.98E-01,2.53E-01,,,4.98E-01,2.62E-01,,,4.98E-01,2.60E-01,,,4.98E-01,2.23E-01
,,5.48E-01,2.53E-01,,,5.48E-01,2.62E-01,,,5.48E-01,2.61E-01,,,5.48E-01,2.24E-01
,,5.97E-01,2.54E-01,,,5.97E-01,2.63E-01,,,5.97E-01,2.62E-01,,,5.97E-01,2.24E-01
,,6.47E-01,2.55E-01,,,6.47E-01,2.63E-01,,,6.47E-01,2.62E-01,,,6.47E-01,2.24E-01
,,6.97E-01,2.55E-01,,,6.97E-01,2.63E-01,,,6.97E-01,2.63E-01,,,6.97E-01,2.25E-01
,,7.47E-01,2.56E-01,,,7.47E-01,2.64E-01,,,7.47E-01,2.63E-01,,,7.47E-01,2.25E-01
,,7.96E-01,2.56E-01,,,7.96E-01,2.64E-01,,,7.96E-01,2.64E-01,,,7.96E-01,2.26E-01
,,8.46E-01,2.57E-01,,,8.46E-01,2.64E-01,,,8.46E-01,2.64E-01,,,8.46E-01,2.26E-01
,,8.96E-01,2.57E-01,,,8.96E-01,2.65E-01,,,8.96E-01,2.65E-01,,,8.96E-01,2.26E-01
,,9.46E-01,2.58E-01,,,9.46E-01,2.65E-01,,,9.46E-01,2.65E-01,,,9.46E-01,2.26E-01
,,9.95E-01,2.58E-01,,,9.95E-01,2.65E-01,,,9.95E-01,2.65E-01,,,9.95E-01,2.27E-01
,,1.05E+00,2.59E-01,,,1.05E+00,2.65E-01,,,1.05E+00,2.66E-01,,,1.05E+00,2.27E-01
,,1.09E+00,2.59E-01,,,1.09E+00,2.66E-01,,,1.09E+00,2.66E-01,,,1.09E+00,2.27E-01
,,1.14E+00,2.59E-01,,,1.14E+00,2.66E-01,,,1.14E+00,2.66E-01,,,1.14E+00,2.27E-01
,,1.19E+00,2.60E-01,,,1.19E+00,2.66E-01,,,1.19E+00,2.67E-01,,,1.19E+00,2.28E-01
,,1.24E+00,2.60E-01,,,1.24E+00,2.66E-01,,,1.24E+00,2.67E-01,,,1.24E+00,2.28E-01
,,1.29E+00,2.60E-01,,,1.29E+00,2.66E-01,,,1.29E+00,2.67E-01,,,1.29E+00,2.28E-01
,,1.34E+00,2.61E-01,,,1.34E+00,2.67E-01,,,1.34E+00,2.68E-01,,,1.34E+00,2.28E-01
,,1.39E+00,2.61E-01,,,1.39E+00,2.67E-01,,,1.39E+00,2.68E-01,,,1.39E+00,2.28E-01
,,1.44E+00,2.61E-01,,,1.44E+00,2.67E-01,,,1.44E+00,2.68E-01,,,1.44E+00,2.29E-01
,,1.49E+00,2.62E-01,,,1.49E+00,2.67E-01,,,1.49E+00,2.68E-01,,,1.49E+00,2.29E-01
,,1.54E+00,2.62E-01,,,1.54E+00,2.67E-01,,,1.54E+00,2.69E-01,,,1.54E+00,2.29E-01
,,1.59E+00,2.62E-01,,,1.59E+00,2.67E-01,,,1.59E+00,2.69E-01,,,1.59E+00,2.29E-01
,,1.64E+00,2.62E-01,,,1.64E+00,2.68E-01,,,1.64E+00,2.69E-01,,,1.64E+00,2.29E-01
,,1.69E+00,2.63E-01,,,1.69E+00,2.68E-01,,,1.69E+00,2.69E-01,,,1.69E+00,2.29E-01
,,1.74E+00,2.63E-01,,,1.74E+00,2.68E-01,,,1.74E+00,2.69E-01,,,1.74E+00,2.30E-01
,,1.79E+00,2.63E-01,,,1.79E+00,2.68E-01,,,1.79E+00,2.70E-01,,,1.79E+00,2.30E-01
,,1.84E+00,2.63E-01,,,1.84E+00,2.68E-01,,,1.84E+00,2.70E-01,,,1.84E+00,2.30E-01
,,1.89E+00,2.64E-01,,,1.89E+00,2.68E-01,,,1.89E+00,2.70E-01,,,1.89E+00,2.30E-01
,,1.94E+00,2.64E-01,,,1.94E+00,2.68E-01,,,1.94E+00,2.70E-01,,,1.94E+00,2.30E-01
,,1.99E+00,2.64E-01,,,1.99E+00,2.68E-01,,,1.99E+00,2.70E-01,,,1.99E+00,2.30E-01
,,2.04E+00,2.64E-01,,,2.04E+00,2.69E-01,,,2.04E+00,2.71E-01,,,2.04E+00,2.30E-01
,,2.09E+00,2.64E-01,,,2.09E+00,2.69E-01,,,2.09E+00,2.71E-01,,,2.09E+00,2.31E-01
,,2.14E+00,2.65E-01,,,2.14E+00,2.69E-01,,,2.14E+00,2.71E-01,,,2.14E+00,2.31E-01
,,2.19E+00,2.65E-01,,,2.19E+00,2.69E-01,,,2.19E+00,2.71E-01,,,2.19E+00,2.31E-01
,,2.24E+00,2.65E-01,,,2.24E+00,2.69E-01,,,2.24E+00,2.71E-01,,,2.24E+00,2.31E-01
,,2.29E+00,2.65E-01,,,2.29E+00,2.69E-01,,,2.29E+00,2.71E-01,,,2.29E+00,2.31E-01
,,2.34E+00,2.65E-01,,,2.34E+00,2.69E-01,,,2.34E+00,2.72E-01,,,2.34E+00,2.31E-01
,,2.39E+00,2.65E-01,,,2.39E+00,2.69E-01,,,2.39E+00,2.72E-01,,,2.39E+00,2.31E-01
,,2.44E+00,2.66E-01,,,2.44E+00,2.69E-01,,,2.44E+00,2.72E-01,,,2.44E+00,2.31E-01
,,2.49E+00,2.66E-01,,,2.49E+00,2.70E-01,,,2.49E+00,2.72E-01,,,2.49E+00,2.31E-01
,,2.54E+00,2.66E-01,,,2.54E+00,2.70E-01,,,2.54E+00,2.72E-01,,,2.54E+00,2.32E-01
,,2.59E+00,2.66E-01,,,2.59E+00,2.70E-01,,,2.59E+00,2.72E-01,,,2.59E+00,2.32E-01
,,2.64E+00,2.66E-01,,,2.64E+00,2.70E-01,,,2.64E+00,2.72E-01,,,2.64E+00,2.32E-01
,,2.69E+00,2.66E-01,,,2.69E+00,2.70E-01,,,2.69E+00,2.73E-01,,,2.69E+00,2.32E-01
,,2.74E+00,2.67E-01,,,2.74E+00,2.70E-01,,,2.74E+00,2.73E-01,,,2.74E+00,2.32E-01
,,2.79E+00,2.67E-01,,,2.79E+00,2.70E-01,,,2.79E+00,2.73E-01,,,2.79E+00,2.32E-01
,,2.84E+00,2.67E-01,,,2.84E+00,2.70E-01,,,2.84E+00,2.73E-01,,,2.84E+00,2.32E-01
,,2.89E+00,2.67E-01,,,2.89E+00,2.70E-01,,,2.89E+00,2.73E-01,,,2.89E+00,2.32E-01
,,2.94E+00,2.67E-01,,,2.94E+00,2.70E-01,,,2.94E+00,2.73E-01,,,2.94E+00,2.32E-01
,,2.99E+00,2.67E-01,,,2.99E+00,2.70E-01,,,2.99E+00,2.73E-01,,,2.99E+00,2.32E-01
,,3.04E+00,2.67E-01,,,3.04E+00,2.70E-01,,,3.04E+00,2.73E-01,,,3.04E+00,2.33E-01
,,3.08E+00,2.68E-01,,,3.08E+00,2.71E-01,,,3.08E+00,2.74E-01,,,3.08E+00,2.33E-01
,,3.13E+00,2.68E-01,,,3.13E+00,2.71E-01,,,3.13E+00,2.74E-01,,,3.13E+00,2.33E-01
,,3.18E+00,2.68E-01,,,3.18E+00,2.71E-01,,,3.18E+00,2.74E-01,,,3.18E+00,2.33E-01
,,3.23E+00,2.68E-01,,,3.23E+00,2.71E-01,,,3.23E+00,2.74E-01,,,3.23E+00,2.33E-01
,,3.28E+00,2.68E-01,,,3.28E+00,2.71E-01,,,3.28E+00,2.74E-01,,,3.28E+00,2.33E-01
,,3.33E+00,2.68E-01,,,3.33E+00,2.71E-01,,,3.33E+00,2.74E-01,,,3.33E+00,2.33E-01
,,3.38E+00,2.68E-01,,,3.38E+00,2.71E-01,,,3.38E+00,2.74E-01,,,3.38E+00,2.33E-01
,,3.43E+00,2.68E-01,,,3.43E+00,2.71E-01,,,3.43E+00,2.74E-01,,,3.43E+00,2.33E-01
,,3.48E+00,2.69E-01,,,3.48E+00,2.71E-01,,,3.48E+00,2.74E-01,,,3.48E+00,2.33E-01
,,3.53E+00,2.69E-01,,,3.53E+00,2.71E-01,,,3.53E+00,2.74E-01,,,3.53E+00,2.33E-01
,,3.58E+00,2.69E-01,,,3.58E+00,2.71E-01,,,3.58E+00,2.75E-01,,,3.58E+00,2.33E-01
,,3.63E+00,2.69E-01,,,3.63E+00,2.71E-01,,,3.63E+00,2.75E-01,,,3.63E+00,2.33E-01
,,3.68E+00,2.69E-01,,,3.68E+00,2.71E-01,,,3.68E+00,2.75E-01,,,3.68E+00,2.34E-01
,,3.73E+00,2.69E-01,,,3.73E+00,2.71E-01,,,3.73E+00,2.75E-01,,,3.73E+00,2.34E-01
,,3.78E+00,2.69E-01,,,3.78E+00,2.72E-01,,,3.78E+00,2.75E-01,,,3.78E+00,2.34E-01
,,3.83E+00,2.69E-01,,,3.83E+00,2.72E-01,,,3.83E+00,2.75E-01,,,3.83E+00,2.34E-01
,,3.88E+00,2.70E-01,,,3.88E+00,2.72E-01,,,3.88E+00,2.75E-01,,,3.88E+00,2.34E-01
,,3.93E+00,2.70E-01,,,3.93E+00,2.72E-01,,,3.93E+00,2.75E-01,,,3.93E+00,2.34E-01
,,3.98E+00,2.70E-01,,,3.98E+00,2.72E-01,,,3.98E+00,2.75E-01,,,3.98E+00,2.34E-01
,,4.03E+00,2.70E-01,,,4.03E+00,2.72E-01,,,4.03E+00,2.75E-01,,,4.03E+00,2.34E-01
,,4.08E+00,2.70E-01,,,4.08E+00,2.72E-01,,,4.08E+00,2.76E-01,,,4.08E+00,2.34E-01
,,4.13E+00,2.70E-01,,,4.13E+00,2.72E-01,,,4.13E+00,2.76E-01,,,4.13E+00,2.34E-01
,,4.18E+00,2.70E-01,,,4.18E+00,2.72E-01,,,4.18E+00,2.76E-01,,,4.18E+00,2.34E-01
,,4.23E+00,2.70E-01,,,4.23E+00,2.72E-01,,,4.23E+00,2.76E-01,,,4.23E+00,2.34E-01
,,4.28E+00,2.70E-01,,,4.28E+00,2.72E-01,,,4.28E+00,2.76E-01,,,4.28E+00,2.34E-01
,,4.33E+00,2.70E-01,,,4.33E+00,2.72E-01,,,4.33E+00,2.76E-01,,,4.33E+00,2.34E-01
,,4.38E+00,2.70E-01,,,4.38E+00,2.72E-01,,,4.38E+00,2.76E-01,,,4.38E+00,2.34E-01
,,4.43E+00,2.71E-01,,,4.43E+00,2.72E-01,,,4.43E+00,2.76E-01,,,4.43E+00,2.35E-01
,,4.48E+00,2.71E-01,,,4.48E+00,2.72E-01,,,4.48E+00,2.76E-01,,,4.48E+00,2.35E-01
,,4.53E+00,2.71E-01,,,4.53E+00,2.72E-01,,,4.53E+00,2.76E-01,,,4.53E+00,2.35E-01
,,4.58E+00,2.71E-01,,,4.58E+00,2.72E-01,,,4.58E+00,2.76E-01,,,4.58E+00,2.35E-01
,,4.63E+00,2.71E-01,,,4.63E+00,2.73E-01,,,4.63E+00,2.76E-01,,,4.63E+00,2.35E-01
,,4.68E+00,2.71E-01,,,4.68E+00,2.73E-01,,,4.68E+00,2.77E-01,,,4.68E+00,2.35E-01
,,4.73E+00,2.71E-01,,,4.73E+00,2.73E-01,,,4.73E+00,2.77E-01,,,4.73E+00,2.35E-01
,,4.78E+00,2.71E-01,,,4.78E+00,2.73E-01,,,4.78E+00,2.77E-01,,,4.78E+00,2.35E-01
,,4.83E+00,2.71E-01,,,4.83E+00,2.73E-01,,,4.83E+00,2.77E-01,,,4.83E+00,2.35E-01
,,4.88E+00,2.71E-01,,,4.88E+00,2.73E-01,,,4.88E+00,2.77E-01,,,4.88E+00,2.35E-01
,,4.93E+00,2.71E-01,,,4.93E+00,2.73E-01,,,4.93E+00,2.77E-01,,,4.93E+00,2.35E-01
,,4.98E+00,2.72E-01,,,4.98E+00,2.73E-01,,,4.98E+00,2.77E-01,,,4.98E+00,2.35E-01
,,5.03E+00,2.72E-01,,,5.03E+00,2.73E-01,,,5.03E+00,2.77E-01,,,5.03E+00,2.35E-01
,,5.07E+00,2.72E-01,,,5.07E+00,2.73E-01,,,5.07E+00,2.77E-01,,,5.07E+00,2.35E-01
,,5.12E+00,2.72E-01,,,5.12E+00,2.73E-01,,,5.12E+00,2.77E-01,,,5.12E+00,2.35E-01
,,5.17E+00,2.72E-01,,,5.17E+00,2.73E-01,,,5.17E+00,2.77E-01,,,5.17E+00,2.35E-01
,,5.22E+00,2.72E-01,,,5.22E+00,2.73E-01,,,5.22E+00,2.77E-01,,,5.22E+00,2.35E-01
,,5.27E+00,2.72E-01,,,5.27E+00,2.73E-01,,,5.27E+00,2.77E-01,,,5.27E+00,2.35E-01
,,5.32E+00,2.72E-01,,,5.32E+00,2.73E-01,,,5.32E+00,2.77E-01,,,5.32E+00,2.35E-01
,,5.37E+00,2.72E-01,,,5.37E+00,2.73E-01,,,5.37E+00,2.78E-01,,,5.37E+00,2.36E-01
,,5.42E+00,2.72E-01,,,5.42E+00,2.73E-01,,,5.42E+00,2.78E-01,,,5.42E+00,2.36E-01
,,5.47E+00,2.72E-01,,,5.47E+00,2.73E-01,,,5.47E+00,2.78E-01,,,5.47E+00,2.36E-01
,,5.52E+00,2.72E-01,,,5.52E+00,2.73E-01,,,5.52E+00,2.78E-01,,,5.52E+00,2.36E-01
,,5.57E+00,2.72E-01,,,5.57E+00,2.73E-01,,,5.57E+00,2.78E-01,,,5.57E+00,2.36E-01
,,5.62E+00,2.73E-01,,,5.62E+00,2.73E-01,,,5.62E+00,2.78E-01,,,5.62E+00,2.36E-01
,,5.67E+00,2.73E-01,,,5.67E+00,2.73E-01,,,5.67E+00,2.78E-01,,,5.67E+00,2.36E-01
,,5.72E+00,2.73E-01,,,5.72E+00,2.74E-01,,,5.72E+00,2.78E-01,,,5.72E+00,2.36E-01
,,5.77E+00,2.73E-01,,,5.77E+00,2.74E-01,,,5.77E+00,2.78E-01,,,5.77E+00,2.36E-01
,,5.82E+00,2.73E-01,,,5.82E+00,2.74E-01,,,5.82E+00,2.78E-01,,,5.82E+00,2.36E-01
,,5.87E+00,2.73E-01,,,5.87E+00,2.74E-01,,,5.87E+00,2.78E-01,,,5.87E+00,2.36E-01
,,5.92E+00,2.73E-01,,,5.92E+00,2.74E-01,,,5.92E+00,2.78E-01,,,5.92E+00,2.36E-01
,,5.97E+00,2.73E-01,,,5.97E+00,2.74E-01,,,5.97E+00,2.78E-01,,,5.97E+00,2.36E-01
,,6.02E+00,2.73E-01,,,6.02E+00,2.74E-01,,,6.02E+00,2.78E-01,,,6.02E+00,2.36E-01
,,6.07E+00,2.73E-01,,,6.07E+00,2.74E-01,,,6.07E+00,2.78E-01,,,6.07E+00,2.36E-01
,,6.12E+00,2.73E-01,,,6.12E+00,2.74E-01,,,6.12E+00,2.78E-01,,,6.12E+00,2.36E-01
,,6.17E+00,2.73E-01,,,6.17E+00,2.74E-01,,,6.17E+00,2.79E-01,,,6.17E+00,2.36E-01
,,6.22E+00,2.73E-01,,,6.22E+00,2.74E-01,,,6.22E+00,2.79E-01,,,6.22E+00,2.36E-01
,,6.27E+00,2.73E-01,,,6.27E+00,2.74E-01,,,6.27E+00,2.79E-01,,,6.27E+00,2.36E-01
,,6.32E+00,2.74E-01,,,6.32E+00,2.74E-01,,,6.32E+00,2.79E-01,,,6.32E+00,2.36E-01
,,6.37E+00,2.74E-01,,,6.37E+00,2.74E-01,,,6.37E+00,2.79E-01,,,6.37E+00,2.36E-01
,,6.42E+00,2.74E-01,,,6.42E+00,2.74E-01,,,6.42E+00,2.79E-01,,,6.42E+00,2.36E-01
,,6.47E+00,2.74E-01,,,6.47E+00,2.74E-01,,,6.47E+00,2.79E-01,,,6.47E+00,2.36E-01
,,6.52E+00,2.74E-01,,,6.52E+00,2.74E-01,,,6.52E+00,2.79E-01,,,6.52E+00,2.37E-01
,,6.57E+00,2.74E-01,,,6.57E+00,2.74E-01,,,6.57E+00,2.79E-01,,,6.57E+00,2.37E-01
,,6.62E+00,2.74E-01,,,6.62E+00,2.74E-01,,,6.62E+00,2.79E-01,,,6.62E+00,2.37E-01
,,6.67E+00,2.74E-01,,,6.67E+00,2.74E-01,,,6.67E+00,2.79E-01,,,6.67E+00,2.37E-01
,,6.72E+00,2.74E-01,,,6.72E+00,2.74E-01,,,6.72E+00,2.79E-01,,,6.72E+00,2.37E-01
,,6.77E+00,2.74E-01,,,6.77E+00,2.74E-01,,,6.77E+00,2.79E-01,,,6.77E+00,2.37E-01
,,6.82E+00,2.74E-01,,,6.82E+00,2.74E-01,,,6.82E+00,2.79E-01,,,6.82E+00,2.37E-01
,,6.87E+00,2.74E-01,,,6.87E+00,2.74E-01,,,6.87E+00,2.79E-01,,,6.87E+00,2.37E-01
,,6.92E+00,2.74E-01,,,6.92E+00,2.74E-01,,,6.92E+00,2.79E-01,,,6.92E+00,2.37E-01
,,6.97E+00,2.74E-01,,,6.97E+00,2.74E-01,,,6.97E+00,2.79E-01,,,6.97E+00,2.37E-01
,,7.02E+00,2.74E-01,,,7.02E+00,2.75E-01,,,7.02E+00,2.79E-01,,,7.02E+00,2.37E-01
,,7.06E+00,2.74E-01,,,7.06E+00,2.75E-01,,,7.06E+00,2.79E-01,,,7.06E+00,2.37E-01
,,7.11E+00,2.75E-01,,,7.11E+00,2.75E-01,,,7.11E+00,2.80E-01,,,7.11E+00,2.37E-01
,,7.16E+00,2.75E-01,,,7.16E+00,2.75E-01,,,7.16E+00,2.80E-01,,,7.16E+00,2.37E-01
,,7.21E+00,2.75E-01,,,7.21E+00,2.75E-01,,,7.21E+00,2.80E-01,,,7.21E+00,2.37E-01
,,7.26E+00,2.75E-01,,,7.26E+00,2.75E-01,,,7.26E+00,2.80E-01,,,7.26E+00,2.37E-01
,,7.31E+00,2.75E-01,,,7.31E+00,2.75E-01,,,7.31E+00,2.80E-01,,,7.31E+00,2.37E-01
,,7.36E+00,2.75E-01,,,7.36E+00,2.75E-01,,,7.36E+00,2.80E-01,,,7.36E+00,2.37E-01
,,7.41E+00,2.75E-01,,,7.41E+00,2.75E-01,,,7.41E+00,2.80E-01,,,7.41E+00,2.37E-01
,,7.46E+00,2.75E-01,,,7.46E+00,2.75E-01,,,7.46E+00,2.80E-01,,,7.46E+00,2.37E-01
,,7.51E+00,2.75E-01,,,7.51E+00,2.75E-01,,,7.51E+00,2.80E-01,,,7.51E+00,2.37E-01
,,7.56E+00,2.75E-01,,,7.56E+00,2.75E-01,,,7.56E+00,2.80E-01,,,7.56E+00,2.37E-01
,,7.61E+00,2.75E-01,,,7.61E+00,2.75E-01,,,7.61E+00,2.80E-01,,,7.61E+00,2.37E-01
,,7.66E+00,2.75E-01,,,7.66E+00,2.75E-01,,,7.66E+00,2.80E-01,,,7.66E+00,2.37E-01
,,7.71E+00,2.75E-01,,,7.71E+00,2.75E-01,,,7.71E+00,2.80E-01,,,7.71E+00,2.37E-01
,,7.76E+00,2.75E-01,,,7.76E+00,2.75E-01,,,7.76E+00,2.80E-01,,,7.76E+00,2.37E-01
,,7.81E+00,2.75E-01,,,7.81E+00,2.75E-01,,,7.81E+00,2.80E-01,,,7.81E+00,2.37E-01
,,7.86E+00,2.75E-01,,,7.86E+00,2.75E-01,,,7.86E+00,2.80E-01,,,7.86E+00,2.38E-01
,,7.91E+00,2.75E-01,,,7.91E+00,2.75E-01,,,7.91E+00,2.80E-01,,,7.91E+00,2.38E-01
,,7.96E+00,2.75E-01,,,7.96E+00,2.75E-01,,,7.96E+00,2.80E-01,,,7.96E+00,2.38E-01
,,8.01E+00,2.75E-01,,,8.01E+00,2.75E-01,,,8.01E+00,2.80E-01,,,8.01E+00,2.38E-01
,,8.06E+00,2.76E-01,,,8.06E+00,2.75E-01,,,8.06E+00,2.80E-01,,,8.06E+00,2.38E-01
,,8.11E+00,2.76E-01,,,8.11E+00,2.75E-01,,,8.11E+00,2.80E-01,,,8.11E+00,2.38E-01
,,8.16E+00,2.76E-01,,,8.16E+00,2.75E-01,,,8.16E+00,2.81E-01,,,8.16E+00,2.38E-01
,,8.21E+00,2.76E-01,,,8.21E+00,2.75E-01,,,8.21E+00,2.81E-01,,,8.21E+00,2.38E-01
,,8.26E+00,2.76E-01,,,8.26E+00,2.75E-01,,,8.26E+00,2.81E-01,,,8.26E+00,2.38E-01
,,8.31E+00,2.76E-01,,,8.31E+00,2.75E-01,,,8.31E+00,2.81E-01,,,8.31E+00,2.38E-01
,,8.36E+00,2.76E-01,,,8.36E+00,2.75E-01,,,8.36E+00,2.81E-01,,,8.36E+00,2.38E-01
,,8.41E+00,2.76E-01,,,8.41E+00,2.75E-01,,,8.41E+00,2.81E-01,,,8.41E+00,2.38E-01
,,8.46E+00,2.76E-01,,,8.46E+00,2.75E-01,,,8.46E+00,2.81E-01,,,8.46E+00,2.38E-01
,,8.51E+00,2.76E-01,,,8.51E+00,2.75E-01,,,8.51E+00,2.81E-01,,,8.51E+00,2.38E-01
,,8.56E+00,2.76E-01,,,8.56E+00,2.75E-01,,,8.56E+00,2.81E-01,,,8.56E+00,2.38E-01
,,8.61E+00,2.76E-01,,,8.61E+00,2.76E-01,,,8.61E+00,2.81E-01,,,8.61E+00,2.38E-01
,,8.66E+00,2.76E-01,,,8.66E+00,2.76E-01,,,8.66E+00,2.81E-01,,,8.66E+00,2.38E-01
,,8.71E+00,2.76E-01,,,8.71E+00,2.76E-01,,,8.71E+00,2.81E-01,,,8.71E+00,2.38E-01
,,8.76E+00,2.76E-01,,,8.76E+00,2.76E-01,,,8.76E+00,2.81E-01,,,8.76E+00,2.38E-01
,,8.81E+00,2.76E-01,,,8.81E+00,2.76E-01,,,8.81E+00,2.81E-01,,,8.81E+00,2.38E-01
,,8.86E+00,2.76E-01,,,8.86E+00,2.76E-01,,,8.86E+00,2.81E-01,,,8.86E+00,2.38E-01
,,8.91E+00,2.76E-01,,,8.91E+00,2.76E-01,,,8.91E+00,2.81E-01,,,8.91E+00,2.38E-01
,,8.96E+00,2.76E-01,,,8.96E+00,2.76E-01,,,8.96E+00,2.81E-01,,,8.96E+00,2.38E-01
,,9.01E+00,2.76E-01,,,9.01E+00,2.76E-01,,,9.01E+00,2.81E-01,,,9.01E+00,2.38E-01
,,9.05E+00,2.77E-01,,,9.05E+00,2.76E-01,,,9.05E+00,2.81E-01,,,9.05E+00,2.38E-01
,,9.10E+00,2.77E-01,,,9.10E+00,2.76E-01,,,9.10E+00,2.81E-01,,,9.10E+00,2.38E-01
,,9.15E+00,2.77E-01,,,9.15E+00,2.76E-01,,,9.15E+00,2.81E-01,,,9.15E+00,2.38E-01
,,9.20E+00,2.77E-01,,,9.20E+00,2.76E-01,,,9.20E+00,2.81E-01,,,9.20E+00,2.38E-01
,,9.25E+00,2.77E-01,,,9.25E+00,2.76E-01,,,9.25E+00,2.81E-01,,,9.25E+00,2.38E-01
,,9.30E+00,2.77E-01,,,9.30E+00,2.76E-01,,,9.30E+00,2.81E-01,,,9.30E+00,2.38E-01
,,9.35E+00,2.77E-01,,,9.35E+00,2.76E-01,,,9.35E+00,2.82E-01,,,9.35E+00,2.38E-01
,,9.40E+00,2.77E-01,,,9.40E+00,2.76E-01,,,9.40E+00,2.82E-01,,,9.40E+00,2.38E-01
,,9.45E+00,2.77E-01,,,9.45E+00,2.76E-01,,,9.45E+00,2.82E-01,,,9.45E+00,2.38E-01
,,9.50E+00,2.77E-01,,,9.50E+00,2.76E-01,,,9.50E+00,2.82E-01,,,9.50E+00,2.39E-01
,,9.55E+00,2.77E-01,,,9.55E+00,2.76E-01,,,9.55E+00,2.82E-01,,,9.55E+00,2.39E-01
,,9.60E+00,2.77E-01,,,9.60E+00,2.76E-01,,,9.60E+00,2.82E-01,,,9.60E+00,2.39E-01
,,9.65E+00,2.77E-01,,,9.65E+00,2.76E-01,,,9.65E+00,2.82E-01,,,9.65E+00,2.39E-01
,,9.70E+00,2.77E-01,,,9.70E+00,2.76E-01,,,9.70E+00,2.82E-01,,,9.70E+00,2.39E-01
,,9.75E+00,2.77E-01,,,9.75E+00,2.76E-01,,,9.75E+00,2.82E-01,,,9.75E+00,2.39E-01
,,9.80E+00,2.77E-01,,,9.80E+00,2.76E-01,,,9.80E+00,2.82E-01,,,9.80E+00,2.39E-01
,,9.85E+00,2.77E-01,,,9.85E+00,2.76E-01,,,9.85E+00,2.82E-01,,,9.85E+00,2.39E-01
,,9.90E+00,2.77E-01,,,9.90E+00,2.76E-01,,,9.90E+00,2.82E-01,,,9.90E+00,2.39E-01
,,9.95E+00,2.77E-01,,,9.95E+00,2.76E-01,,,9.95E+00,2.82E-01,,,9.95E+00,2.39E-01
,,1.00E+01,2.77E-01,,,1.00E+01,2.76E-01,,,1.00E+01,2.82E-01,,,1.00E+01,2.39E-01
